ID,Title,Link,Source,Published,Author,Summary
426,Topuria KO’s Oliveira to win lightweight title at UFC 317,https://www.aljazeera.com/sports/2025/6/29/topuria-beats-oliveira-to-win-ufc-lightweight-title-with-stunning-knockout,Al Jazeera Sports,,,
514,Norris wins Austrian GP; reduces Piastri’s F1 title lead,https://www.aljazeera.com/sports/2025/6/29/austrian-gp-norris-reduces-mclaren-teammate-piastris-title-lead,Al Jazeera Sports,,,
515,Gauff and Sabalenka team up in viral TikTok dance before Wimbledon,https://www.aljazeera.com/sports/2025/6/29/gauff-and-sabalenka-team-up-in-viral-tiktok-dance-before-wimbledon,Al Jazeera Sports,,,
516,Chelsea beat Benfica to reach FIFA Club World Cup quarterfinal,https://www.aljazeera.com/sports/2025/6/29/chelsea-beat-benfica-to-reach-fifa-club-world-cup-quarterfinal,Al Jazeera Sports,,,
383,Severe heat waves hit southern Europe as local authorities warn against wildfire risks,https://edition.cnn.com/2025/06/29/europe/heatwave-wildfire-southern-europe-intl-latam,CNN,2025-06-29 23:39:40.620882,,
384,Russia’s summer offensive in Ukraine underwhelms – but Kyiv won’t be celebrating,https://edition.cnn.com/2025/06/29/europe/russia-summer-offensive-kyiv-ukraine-intl,CNN,2025-06-29 23:39:40.623322,,
385,"European champion PSG knocks out Lionel Messi, Inter Miami in convincing fashion to advance to Club World Cup quarterfinal",https://edition.cnn.com/2025/06/29/sport/psg-eliminates-lionel-messi-inter-miami-club-world-cup-spt,CNN,2025-06-29 23:39:40.630496,,
386,Big crowds gather in Hungarian capital to defy ban on Budapest Pride,https://edition.cnn.com/2025/06/28/europe/budapest-pride-intl,CNN,2025-06-29 23:39:40.633547,,
387,Police clash with anti-government protesters calling for early elections in Serbia,https://edition.cnn.com/2025/06/28/europe/police-clash-protesters-elections-serbia-latam-intl,CNN,2025-06-29 23:39:40.636005,,
388,Bezos wedding protesters demand the billionaire ‘get out of our lagoon’,https://edition.cnn.com/2025/06/28/europe/jeff-bezos-wedding-protest-venice-latam-intl,CNN,2025-06-29 23:39:40.639414,,
389,Venice’s most guarded secret: Inside the Bezos-Sanchez wedding plans,https://edition.cnn.com/2025/06/23/style/venice-secret-bezos-sanchez-wedding-plans,CNN,2025-06-29 23:39:40.642691,,
390,You are cordially invited to critique Jeff Bezos and Lauren Sanchez’s wedding invitation,https://edition.cnn.com/2025/06/25/style/wedding-invite-leak-bezos-sanchez,CNN,2025-06-29 23:39:40.646355,,
391,"At the Bezos-Sanchez wedding: Bride, groom and VIP guests gather on San Giorgio Maggiore for the main event",https://edition.cnn.com/2025/06/26/style/bezos-sanchez-wedding-guests-arrive,CNN,2025-06-29 23:39:40.650178,,
392,Venice expects to rake in over $1.1 billion from Bezos-Sanchez wedding,https://edition.cnn.com/2025/06/27/business/venice-tourism-economy-bezos-wedding,CNN,2025-06-29 23:39:40.653863,,
